participant_id,new_player,build_sha256,mission,start_time,end_time,active_seconds,menu_choice_seconds,help_seconds,result,goal_in_own_words,help_count,warning_visibility,interesting_moment,frustrating_moment,notes
P00,no,,01,,,,,,,,,,,,
P00,no,,02,,,,,,,,,,,,
P00,no,,03,,,,,,,,,,,,
P00,no,,04,,,,,,,,,,,,
P00,no,,05,,,,,,,,,,,,
P00,no,,06,,,,,,,,,,,,
P00,no,,07,,,,,,,,,,,,
P00,no,,08,,,,,,,,,,,,
P01,,,01,,,,,,,,,,,,
P01,,,02,,,,,,,,,,,,
P01,,,03,,,,,,,,,,,,
P01,,,04,,,,,,,,,,,,
P01,,,05,,,,,,,,,,,,
P01,,,06,,,,,,,,,,,,
P01,,,07,,,,,,,,,,,,
P01,,,08,,,,,,,,,,,,
P02,,,01,,,,,,,,,,,,
P02,,,02,,,,,,,,,,,,
P02,,,03,,,,,,,,,,,,
P02,,,04,,,,,,,,,,,,
P02,,,05,,,,,,,,,,,,
P02,,,06,,,,,,,,,,,,
P02,,,07,,,,,,,,,,,,
P02,,,08,,,,,,,,,,,,
P03,,,01,,,,,,,,,,,,
P03,,,02,,,,,,,,,,,,
P03,,,03,,,,,,,,,,,,
P03,,,04,,,,,,,,,,,,
P03,,,05,,,,,,,,,,,,
P03,,,06,,,,,,,,,,,,
P03,,,07,,,,,,,,,,,,
P03,,,08,,,,,,,,,,,,
