elapsed_sec,frame_ms,draw_calls
0.001,0.971,435
0.004,2.970,685
0.006,1.958,687
0.016,10.155,687
0.033,16.607,688
0.049,16.635,685
0.066,16.612,689
0.083,16.818,686
0.100,16.792,686
0.116,16.752,695
0.133,16.526,691
0.149,16.571,679
0.166,16.668,685
0.183,16.662,693
0.199,16.763,699
0.216,16.659,700
0.233,16.679,700
0.250,16.799,700
0.266,16.480,696
0.283,16.694,702
0.300,16.740,699
0.316,16.633,694
0.333,16.929,691
0.350,16.543,691
0.366,16.761,700
0.383,16.528,698
0.400,16.884,700
0.416,16.672,698
0.433,16.455,693
0.450,16.683,701
0.466,16.671,700
0.483,16.693,691
0.500,16.898,685
0.516,16.457,691
0.533,16.662,699
0.550,16.598,704
0.566,16.777,702
0.583,16.711,705
0.600,16.723,703
0.617,16.820,703
0.633,16.464,706
0.650,16.689,703
0.667,16.795,694
0.683,16.756,691
0.700,16.733,701
0.717,17.031,702
0.733,16.022,698
0.750,16.979,702
0.767,16.738,701
0.783,16.444,699
0.800,16.591,703
0.817,16.741,700
0.834,16.968,694
0.850,16.506,687
0.867,16.970,696
0.883,16.315,701
0.900,16.602,704
0.917,16.698,702
0.934,16.981,704
0.950,16.539,703
0.967,16.461,708
0.984,16.885,706
1.000,16.506,702
1.017,16.662,693
1.033,16.696,691
1.050,16.673,701
1.067,16.683,701
1.084,16.808,698
1.100,16.553,702
1.117,16.821,697
1.133,16.552,699
1.150,16.693,705
1.167,16.824,698
1.184,16.770,687
1.200,16.373,688
1.217,16.974,699
1.234,16.666,706
1.250,16.511,707
1.267,16.732,707
1.284,16.568,706
1.300,16.755,703
1.317,16.538,709
1.334,16.791,704
1.350,16.641,702
1.367,16.839,691
1.384,16.509,694
1.400,16.801,702
1.417,16.784,698
1.434,16.660,702
1.450,16.552,700
1.467,16.931,696
1.484,16.354,704
1.501,16.801,702
1.517,16.760,694
1.534,16.605,683
1.551,16.673,683
1.567,16.769,695
1.584,16.529,701
1.601,16.811,698
1.617,16.672,699
1.634,16.509,697
1.651,16.679,695
