elapsed_sec,frame_ms,draw_calls
0.001,1.026,435
0.004,2.951,685
0.006,1.823,687
0.067,60.861,687
0.069,2.513,686
0.100,31.104,683
0.103,2.582,695
0.133,30.563,693
0.136,2.349,679
0.138,1.782,679
0.139,1.782,681
0.141,1.721,680
0.143,1.775,680
0.145,1.764,679
0.146,1.766,682
0.148,1.753,683
0.150,1.755,685
0.152,1.855,685
0.153,1.751,685
0.155,1.768,685
0.157,1.731,688
0.159,1.753,690
0.160,1.754,687
0.162,1.763,689
0.164,1.746,689
0.166,1.778,693
0.168,1.856,693
0.169,1.846,693
0.171,1.762,694
0.173,1.787,694
0.175,1.744,694
0.177,1.751,694
0.178,1.844,694
0.180,1.893,696
0.182,1.728,697
0.184,1.759,697
0.186,1.864,699
0.187,1.749,699
0.189,1.729,699
0.191,1.723,699
0.193,1.720,699
0.194,1.752,700
0.196,1.749,699
0.198,1.731,699
0.200,1.794,699
0.202,1.952,700
0.203,1.775,700
0.205,1.733,698
0.207,1.736,698
0.208,1.736,697
0.210,1.774,698
0.212,1.758,698
0.214,1.781,699
0.216,1.765,699
0.217,1.855,700
0.219,1.853,700
0.221,1.746,700
0.223,1.733,700
0.224,1.747,700
0.226,1.746,700
0.228,1.744,700
0.230,1.757,698
0.232,1.806,698
0.233,1.762,700
0.235,1.897,700
0.237,1.786,701
0.239,1.762,700
0.241,1.812,699
0.242,1.754,698
0.244,1.729,698
0.246,1.757,698
0.248,1.742,695
0.249,1.753,695
0.251,1.847,696
0.253,1.782,696
0.255,1.751,697
0.256,1.749,697
0.258,1.736,698
0.260,1.811,698
0.270,9.973,701
0.278,8.231,700
0.288,9.414,699
0.296,8.421,697
0.305,9.279,699
0.318,13.169,691
0.327,8.385,691
0.335,8.055,698
0.346,11.484,691
0.355,8.629,698
0.362,7.368,699
0.374,11.349,697
0.385,10.796,695
0.393,8.243,700
0.400,7.657,700
0.410,9.816,698
0.420,9.793,695
0.430,9.653,694
0.439,9.410,700
0.451,11.419,699
0.460,9.588,700
0.471,11.077,697
0.479,8.286,691
0.489,9.401,683
0.500,11.070,685
0.508,8.332,696
0.517,8.998,696
0.527,9.528,699
0.535,8.419,704
0.543,7.586,705
0.554,11.374,705
0.565,10.983,700
0.576,11.216,705
0.584,7.169,705
0.594,10.411,703
0.605,11.238,703
0.613,7.505,708
0.621,7.919,707
0.628,7.710,707
0.639,10.757,703
0.650,10.776,703
0.660,10.246,694
0.671,10.548,691
0.682,11.378,693
0.691,8.753,701
0.700,9.273,701
0.712,11.749,702
0.720,8.571,699
0.732,11.343,699
0.742,10.530,703
0.749,6.914,701
0.760,10.453,701
0.771,11.635,696
0.781,9.541,700
0.792,11.129,705
0.800,8.175,702
0.811,11.001,700
0.824,12.424,694
0.834,10.633,686
0.843,8.607,687
0.852,9.464,687
0.862,9.545,692
0.873,11.313,701
0.881,7.480,706
0.890,9.400,706
0.898,8.357,706
0.909,10.658,701
0.917,7.664,706
0.926,9.767,704
0.936,9.106,703
0.946,10.831,700
0.957,10.601,706
0.968,10.787,708
0.979,11.503,703
0.989,9.378,703
0.999,9.925,700
1.006,7.839,691
1.013,6.846,691
1.024,10.682,690
1.033,8.967,694
1.042,8.938,701
1.052,10.294,704
1.063,10.751,699
1.072,8.900,698
1.081,9.356,700
1.094,12.872,703
1.106,11.556,699
1.113,7.632,697
1.126,12.588,699
1.140,13.736,705
1.150,10.735,703
1.157,6.861,698
1.168,10.864,694
1.176,8.210,687
1.185,8.894,683
1.197,12.015,688
1.209,12.382,695
1.221,11.168,701
1.231,10.368,706
1.240,9.217,705
1.251,10.403,704
1.262,11.092,707
1.272,9.936,705
1.280,8.321,704
1.291,10.878,701
1.300,9.432,708
1.311,11.151,709
1.322,10.264,707
1.332,10.575,702
1.344,12.185,703
1.356,11.732,693
1.365,8.958,689
1.376,10.916,690
1.385,9.081,698
1.398,12.790,702
1.408,9.880,698
1.416,8.483,697
1.427,10.605,701
1.437,9.918,703
1.447,9.858,700
1.457,10.637,697
1.467,10.001,700
1.479,11.464,704
1.490,10.814,705
1.501,11.001,699
1.509,8.358,694
1.519,10.343,688
1.530,10.669,684
1.542,12.466,688
1.554,11.096,698
1.565,11.010,700
1.573,8.386,704
1.583,9.633,704
1.594,11.557,704
1.604,10.095,705
1.614,10.084,707
1.624,9.871,706
1.635,10.792,701
1.644,8.574,705
1.655,11.897,708
1.667,11.214,707
1.677,10.013,702
1.690,13.213,703
1.703,12.970,696
1.713,10.035,690
1.726,13.391,692
1.736,10.131,701
1.745,8.494,700
1.756,10.862,699
1.767,11.394,699
1.776,9.121,703
1.786,9.511,700
1.796,10.005,700
1.806,9.849,696
1.818,11.897,700
1.831,13.726,702
1.839,8.242,702
1.850,10.039,697
1.861,11.892,694
1.872,10.510,685
1.883,10.973,688
1.896,13.567,690
1.909,12.052,694
1.920,11.087,699
1.932,12.103,699
1.941,9.620,693
1.951,9.865,699
1.964,13.270,698
1.977,12.150,695
1.985,8.418,697
1.994,8.591,700
