key,value
meta/world,2000x32x2000
meta/chunks_total,15625
meta/view_radius_chunks,24
gen/heightmap_ms,960
gen/alloc_all_chunks_ms,45
gen/mem_static_mb_after_alloc,172
mesh/window_total_ms,2608
mesh/window_chunks,2304
mesh/chunk_build_usec_avg,1109.0
mesh/chunk_build_usec_p95,1185
mesh/chunk_build_usec_worst,26582
mesh/chunk_build_usec_n,2304
view_near/frame_ms_avg,1.127
view_near/frame_ms_p95,1.389
view_near/frame_ms_worst,1.809
view_near/draw_calls_max,777
view_near/frames,10644
view_far/frame_ms_avg,1.623
view_far/frame_ms_p95,1.667
view_far/frame_ms_worst,2.268
view_far/draw_calls_max,1293
view_far/frames,7396
view_horizon/frame_ms_avg,1.604
view_horizon/frame_ms_p95,1.667
view_horizon/frame_ms_worst,2.142
view_horizon/draw_calls_max,1291
view_horizon/frames,7480
edit/rebuild_usec_avg,1113.1
edit/rebuild_usec_p95,1161
edit/rebuild_usec_worst,1744
edit/rebuild_usec_n,100
streaming_flight/frame_ms_avg,2.256
streaming_flight/frame_ms_p95,4.545
streaming_flight/frame_ms_worst,141.680
streaming_flight/draw_calls_max,784
streaming_flight/frames,8864
streaming/chunk_build_usec_avg,1158.2
streaming/chunk_build_usec_p95,1346
streaming/chunk_build_usec_worst,1483
streaming/chunk_build_usec_n,1488
streaming/chunks_built,1488
meta/mem_static_mb_final,208
meta/video_mem_mb,155
