key,value
meta/scenario,s1
meta/config,c1
meta/world,64x16x64
meta/seed,1337
build/populate_ms,12.3
build/cells,19664
build/houses,16
s1_near/frame_ms_avg,16.667
s1_near/frame_ms_p95,16.667
s1_near/frame_ms_worst,16.667
s1_near/draw_calls_max,609
s1_near/frames,900
s1_far/frame_ms_avg,16.684
s1_far/frame_ms_p95,16.667
s1_far/frame_ms_worst,24.162
s1_far/draw_calls_max,418
s1_far/frames,900
s1_full/frame_ms_avg,16.684
s1_full/frame_ms_p95,16.667
s1_full/frame_ms_worst,24.786
s1_full/draw_calls_max,373
s1_full/frames,900
meta/mem_static_mb,58.4
