key,value
meta/scenario,s1
meta/config,size1000
meta/world,1000x32x1000
meta/seed,1337
build/populate_ms,8102.0
build/cells,8917174
build/houses,5041
s1_near/frame_ms_avg,41.351
s1_near/frame_ms_p95,46.148
s1_near/frame_ms_worst,65.471
s1_near/draw_calls_max,23721
s1_near/frames,363
s1_far/frame_ms_avg,46.033
s1_far/frame_ms_p95,47.064
s1_far/frame_ms_worst,50.000
s1_far/draw_calls_max,25378
s1_far/frames,326
s1_full/frame_ms_avg,133.302
s1_full/frame_ms_p95,134.878
s1_full/frame_ms_worst,137.420
s1_full/draw_calls_max,65835
s1_full/frames,113
meta/mem_static_mb,4217.6
meta/mdpt,4
