key,value
meta/scenario,s2
meta/config,c2
meta/world,100x32x100
meta/seed,1337
build/populate_ms,167.2
build/cells,87280
build/houses,36
nav/build_ms,283.2
nav/points,11281
s2_warp1/frame_ms_avg,16.687
s2_warp1/frame_ms_p95,16.667
s2_warp1/frame_ms_worst,33.291
s2_warp1/draw_calls_max,1623
s2_warp1/frames,3597
s2_warp1/patch_usec_avg,481.6
s2_warp1/patch_usec_p95,686
s2_warp1/patch_usec_worst,1010
s2_warp1/patch_usec_n,1200
s2_warp1/query_usec_avg,171.3
s2_warp1/query_usec_p95,1008
s2_warp1/query_usec_worst,2797
s2_warp1/query_usec_n,600
s2_warp1/deciding_pass_usec_avg,12372.0
s2_warp1/deciding_pass_usec_p95,34988
s2_warp1/deciding_pass_usec_worst,38100
s2_warp1/deciding_pass_usec_n,600
s2_warp3/frame_ms_avg,16.882
s2_warp3/frame_ms_p95,16.667
s2_warp3/frame_ms_worst,144.806
s2_warp3/draw_calls_max,1633
s2_warp3/frames,3555
s2_warp3/patch_usec_avg,471.5
s2_warp3/patch_usec_p95,707
s2_warp3/patch_usec_worst,1023
s2_warp3/patch_usec_n,3601
s2_warp3/query_usec_avg,137.2
s2_warp3/query_usec_p95,611
s2_warp3/query_usec_worst,2900
s2_warp3/query_usec_n,1800
s2_warp3/deciding_pass_usec_avg,11099.0
s2_warp3/deciding_pass_usec_p95,34834
s2_warp3/deciding_pass_usec_worst,38001
s2_warp3/deciding_pass_usec_n,1800
s3/unconnected_pair_0,1
s3/unconnected_pair_2,1
s3/unconnected_pair_7,1
s3/unconnected_pair_16,1
s3/unconnected_pair_18,1
s3/unconnected_pair_24,1
s3/unconnected_pair_25,1
s3/unconnected_pair_31,1
s3/unconnected_pair_34,1
s3/unconnected_pair_35,1
s3/unconnected_pair_42,1
s3/unconnected_pair_47,1
s3/unconnected_pair_54,1
s3/unconnected_pair_55,1
s3/unconnected_pair_56,1
s3/unconnected_pair_58,1
s3/unconnected_pair_62,1
s3/unconnected_pair_63,1
s3/unconnected_pair_64,1
s3/unconnected_pair_71,1
s3/unconnected_pair_76,1
s3/unconnected_pair_81,1
s3/unconnected_pair_83,1
s3/unconnected_pair_86,1
s3/unconnected_pair_88,1
s3/unconnected_pair_89,1
s3/unconnected_pair_94,1
s3/unconnected_pair_95,1
s3/unconnected_pair_100,1
s3/unconnected_pair_101,1
s3/unconnected_pair_108,1
s3/unconnected_pair_109,1
s3/unconnected_pair_116,1
s3/unconnected_pair_118,1
s3/unconnected_pair_123,1
s3/unconnected_pair_127,1
s3/unconnected_pair_129,1
s3/unconnected_pair_133,1
s3/unconnected_pair_138,1
s3/unconnected_pair_140,1
s3/unconnected_pair_141,1
s3/unconnected_pair_142,1
s3/unconnected_pair_147,1
s3/unconnected_pair_148,1
s3/unconnected_pair_150,1
s3/unconnected_pair_153,1
s3/unconnected_pair_154,1
s3/unconnected_pair_156,1
s3/unconnected_pair_157,1
s3/unconnected_pair_159,1
s3/unconnected_pair_160,1
s3/unconnected_pair_163,1
s3/unconnected_pair_164,1
s3/unconnected_pair_165,1
s3/unconnected_pair_167,1
s3/unconnected_pair_168,1
s3/unconnected_pair_170,1
s3/unconnected_pair_172,1
s3/unconnected_pair_174,1
s3/unconnected_pair_175,1
s3/unconnected_pair_177,1
s3/unconnected_pair_180,1
s3/unconnected_pair_189,1
s3/unconnected_pair_191,1
s3/unconnected_pair_197,1
s3/unconnected_pair_198,1
s3/unconnected_pair_199,1
s3/query_bench_usec_avg,583.3
s3/query_bench_usec_p95,2507
s3/query_bench_usec_worst,2819
s3/query_bench_usec_n,200
meta/mem_static_mb,99.6
meta/mdpt,1
