key,value
meta/world,16000x32x16000
meta/region_size_chunks,32
meta/view_radius_chunks,24
meta/settlement_radius_chunks,8
meta/page_budget_ms,4.0
meta/evict_budget_ms,4.0
meta/use_async_io,true
meta/async_caps_tested,[32, 64]
meta/real_max_camera_speed_cells_per_sec,144.0
meta/stress_camera_speed_cells_per_sec,120.0
meta/settlement_resident_at_boot,289
c3/tested,20
c3/mismatches,0
travel_REAL_32/ticks,26640
travel_REAL_32/frame_usec_avg,3144.0
travel_REAL_32/frame_usec_p95,4858.0
travel_REAL_32/frame_usec_worst,14222.0
travel_REAL_32/io_usec_avg,0.0
travel_REAL_32/io_usec_worst,0.0
travel_REAL_32/io_active_ticks,0
travel_REAL_32/regen_usec_avg,0.0
travel_REAL_32/regen_usec_worst,0.0
travel_REAL_32/regen_active_ticks,0
travel_REAL_32/eviction_active_ticks,192
travel_REAL_32/worst_evict_frame_usec,14222
travel_REAL_32/mem_peak_mb,43.9
travel_REAL_32/mem_first_avg_mb,31.3
travel_REAL_32/mem_last_avg_mb,36.1
travel_REAL_32/deferred_pagein_events,59941595
travel_REAL_32/deferred_evict_events,5942386
travel_REAL_32/header_io_usec_total,30804
travel_STRESS_32/ticks,31968
travel_STRESS_32/frame_usec_avg,3082.7
travel_STRESS_32/frame_usec_p95,4643.0
travel_STRESS_32/frame_usec_worst,13263.0
travel_STRESS_32/io_usec_avg,0.0
travel_STRESS_32/io_usec_worst,0.0
travel_STRESS_32/io_active_ticks,0
travel_STRESS_32/regen_usec_avg,0.0
travel_STRESS_32/regen_usec_worst,0.0
travel_STRESS_32/regen_active_ticks,0
travel_STRESS_32/eviction_active_ticks,267
travel_STRESS_32/worst_evict_frame_usec,11952
travel_STRESS_32/mem_peak_mb,57.7
travel_STRESS_32/mem_first_avg_mb,45.5
travel_STRESS_32/mem_last_avg_mb,48.6
travel_STRESS_32/deferred_pagein_events,71766641
travel_STRESS_32/deferred_evict_events,8035453
travel_STRESS_32/header_io_usec_total,43401
travel_REAL_64/ticks,26640
travel_REAL_64/frame_usec_avg,3298.4
travel_REAL_64/frame_usec_p95,5252.0
travel_REAL_64/frame_usec_worst,14183.0
travel_REAL_64/io_usec_avg,0.0
travel_REAL_64/io_usec_worst,0.0
travel_REAL_64/io_active_ticks,0
travel_REAL_64/regen_usec_avg,0.0
travel_REAL_64/regen_usec_worst,0.0
travel_REAL_64/regen_active_ticks,0
travel_REAL_64/eviction_active_ticks,298
travel_REAL_64/worst_evict_frame_usec,14183
travel_REAL_64/mem_peak_mb,68.8
travel_REAL_64/mem_first_avg_mb,53.7
travel_REAL_64/mem_last_avg_mb,58.9
travel_REAL_64/deferred_pagein_events,58294026
travel_REAL_64/deferred_evict_events,5520670
travel_REAL_64/header_io_usec_total,58670
travel_STRESS_64/ticks,31968
travel_STRESS_64/frame_usec_avg,3183.7
travel_STRESS_64/frame_usec_p95,4871.0
travel_STRESS_64/frame_usec_worst,14534.0
travel_STRESS_64/io_usec_avg,0.0
travel_STRESS_64/io_usec_worst,0.0
travel_STRESS_64/io_active_ticks,0
travel_STRESS_64/regen_usec_avg,0.0
travel_STRESS_64/regen_usec_worst,0.0
travel_STRESS_64/regen_active_ticks,0
travel_STRESS_64/eviction_active_ticks,332
travel_STRESS_64/worst_evict_frame_usec,14534
travel_STRESS_64/mem_peak_mb,83.7
travel_STRESS_64/mem_first_avg_mb,66.7
travel_STRESS_64/mem_last_avg_mb,72.8
travel_STRESS_64/deferred_pagein_events,70585728
travel_STRESS_64/deferred_evict_events,7010531
travel_STRESS_64/header_io_usec_total,62950
c5/mutated_count,30
c5/pristine_count,10
c5/tested,40
c5/mismatches,0
c5/bytes_written,811008
c5/naive_full_world_bytes,8192000000
c5/region_file_count,49
aggregate/page_ins,51247
aggregate/regen,51057
aggregate/load,190
aggregate/disk_footprint_mb,5.29
